Symbol,Name,High,Low,Close,Volume,URL
AIM.PR.D,Aimia Inc Pref Series 4,18.65,18.65,18.65,150,https://eoddata.com//stockquote/TSX/AIM.PR.D.htm
ALA,AltaGas Ltd,30.90,30.51,30.80,577,043,https://eoddata.com//stockquote/TSX/ALA.htm
ALA.PR.B,AltaGas Ltd Pref Ser B,21.35,21.02,21.03,2,500,https://eoddata.com//stockquote/TSX/ALA.PR.B.htm
ALA.PR.H,AltaGas Ltd Pref H,24.75,24.27,24.30,500,https://eoddata.com//stockquote/TSX/ALA.PR.H.htm
ALC.DB.A,Algoma Central Corp 5.25 Pct Debs,99.82,99.82,99.82,140,000,https://eoddata.com//stockquote/TSX/ALC.DB.A.htm
ALYA,Alithya Group,2.040,2.020,2.020,7,305,https://eoddata.com//stockquote/TSX/ALYA.htm
AMC,Arizona Metals Corp,2.190,1.960,2.110,242,901,https://eoddata.com//stockquote/TSX/AMC.htm
AND,Andlauer Healthcare Group Inc,38.20,37.62,37.62,18,563,https://eoddata.com//stockquote/TSX/AND.htm
AOI,Africa Oil Corp,2.450,2.420,2.440,174,269,https://eoddata.com//stockquote/TSX/AOI.htm
AP.UN,Allied Properties Real Estate Inv Trust,16.63,15.85,16.56,904,450,https://eoddata.com//stockquote/TSX/AP.UN.htm
APR.UN,Automotive Properties REIT,9.940,9.780,9.890,17,730,https://eoddata.com//stockquote/TSX/APR.UN.htm
AQN,Algonquin Power and Utilities Corp,8.600,8.380,8.530,2,755,476,https://eoddata.com//stockquote/TSX/AQN.htm
AQN.PR.D,Algonquin Power and Utilities Pref D,23.10,22.83,22.92,600,https://eoddata.com//stockquote/TSX/AQN.PR.D.htm
AR.DB.U,Argonaut Gold Inc 4.625%,98.25,98.25,98.25,1,000,https://eoddata.com//stockquote/TSX/AR.DB.U.htm
ARB,Accelerate Arbitrage Fund ETF,26.20,26.20,26.20,1,800,https://eoddata.com//stockquote/TSX/ARB.htm
ARG,Amerigo Resources Ltd,1.710,1.660,1.660,221,601,https://eoddata.com//stockquote/TSX/ARG.htm
ARIS.WT.A,Aris Mining Corporation WT,0.5900,0.5600,0.5700,188,750,https://eoddata.com//stockquote/TSX/ARIS.WT.A.htm
ARTI,Evolve Artificial Intelligence Fund,11.32,11.02,11.04,4,399,https://eoddata.com//stockquote/TSX/ARTI.htm
ASCU,Arizona Sonoran Copper Company Inc,1.400,1.320,1.360,63,688,https://eoddata.com//stockquote/TSX/ASCU.htm
ASND,Ascendant Resources Inc,0.0450,0.0450,0.0450,10,068,https://eoddata.com//stockquote/TSX/ASND.htm
ASTL.WT,Algoma Steel Group Inc,1.240,1.240,1.240,100,https://eoddata.com//stockquote/TSX/ASTL.WT.htm
ATD,Alimentation Couche-Tard Inc.,82.03,80.28,80.91,1,816,941,https://eoddata.com//stockquote/TSX/ATD.htm
ATRL,Snc-Lavalin Group Inc,58.48,57.92,57.92,158,964,https://eoddata.com//stockquote/TSX/ATRL.htm
ATSX,Accelerate Enhanced CDN Bm Alt Fund ETF,24.31,24.31,24.31,300,https://eoddata.com//stockquote/TSX/ATSX.htm
AUGB.F,First Trst CBOE Vest US Eqty Buffer ETF,44.27,44.27,44.27,100,https://eoddata.com//stockquote/TSX/AUGB.F.htm
AVCN,Avicanna Inc,0.4600,0.4100,0.4450,220,525,https://eoddata.com//stockquote/TSX/AVCN.htm
AVNT,Avant Brands Inc,0.0650,0.0600,0.0650,123,985,https://eoddata.com//stockquote/TSX/AVNT.htm
AX.PR.E,Artis REIT Pref Ser E,17.89,17.75,17.89,19,800,https://eoddata.com//stockquote/TSX/AX.PR.E.htm
AX.UN,Artis Real Estate Investment Trust Units,6.680,6.500,6.630,149,597,https://eoddata.com//stockquote/TSX/AX.UN.htm
AYA,Aya Gold and Silver Inc,15.92,15.23,15.90,434,356,https://eoddata.com//stockquote/TSX/AYA.htm
